Date,MaxTempF,MeanTempF,MinTempF
1974-01-08,28,24,21
1974-01-09,28,23,18
1974-01-10,33,28,23
1974-01-11,42,38,33
1974-01-12,35,30,24
1974-01-13,25,22,18
1974-01-14,32,24,17
1974-01-15,39,34,30
1974-01-16,45,40,35
1974-01-17,45,30,15
1974-01-18,24,17,10
1974-01-19,46,36,25
1974-01-20,32,28,24
1974-01-21,54,43,32
1974-01-22,53,45,37
1974-01-23,54,44,35
1974-01-24,50,44,39
1974-01-25,46,41,36
1974-01-26,45,38,33
1974-01-27,64,55,46
1974-01-28,54,48,43
1974-01-29,51,47,42
1974-01-30,51,44,37
1974-01-31,57,48,39
1975-01-01,45,40,34
1975-01-02,39,36,30
1975-01-03,41,34,26
1975-01-04,48,42,37
1975-01-05,44,39,30
1975-01-06,43,34,26
1975-01-07,48,42,37
1975-01-08,46,40,33
1975-01-09,50,46,39
1975-01-10,46,41,36
1975-01-11,57,52,48
1975-01-12,60,52,44
1975-01-13,42,38,33
1975-01-14,34,29,23
1975-01-15,30,24,19
1975-01-16,37,32,28
1975-01-17,32,28,25
1975-01-18,46,36,25
1975-01-19,51,44,37
1975-01-20,39,29,19
1975-01-21,33,24,17
1975-01-22,39,36,32
1975-01-23,39,36,32
1975-01-24,44,38,33
1975-01-25,50,44,37
1975-01-26,45,41,37
1975-01-27,39,38,35
1975-01-28,39,37,35
1975-01-29,55,46,36
1975-01-30,48,41,33
1975-01-31,33,30,28
1976-01-01,39,36,30
1976-01-02,30,26,21
1976-01-03,42,36,30
1976-01-04,36,32,26
1976-01-05,26,24,21
1976-01-06,30,24,18
1976-01-07,36,32,28
1976-01-08,37,28,17
1976-01-09,23,20,16
1976-01-10,26,20,15
1976-01-11,37,29,21
1976-01-12,36,31,26
1976-01-13,46,32,19
1976-01-14,48,41,33
1976-01-15,32,28,24
1976-01-16,44,34,25
1976-01-17,36,26,15
1976-01-18,19,13,7
1976-01-19,25,17,9
1976-01-20,30,27,24
1976-01-21,34,28,23
1976-01-22,30,20,8
1976-01-23,15,8,1
1976-01-24,26,20,15
1976-01-25,35,28,21
1976-01-26,51,43,36
1976-01-27,48,44,37
1976-01-28,39,34,28
1976-01-29,39,34,28
1976-01-30,36,32,27
1976-01-31,34,27,21
1977-01-01,27,20,14
