Date,Open,High,Low,Close,Adj Close,Volume
2015-08-13,5.937500,5.950000,5.865000,5.880000,5.697183,27688400
2015-08-14,5.875000,5.920000,5.840000,5.885000,5.702027,21465200
2015-08-17,5.875000,5.875000,5.775000,5.847500,5.665694,27388000
2015-08-18,5.805000,5.845000,5.725000,5.770000,5.614125,28708400
2015-08-19,5.762500,5.827500,5.685000,5.747500,5.592233,24924800
2015-08-20,5.682500,5.710000,5.512500,5.540000,5.390338,42693200
2015-08-21,5.500000,5.592500,5.362500,5.367500,5.222498,38266400
2015-08-24,5.067500,5.457500,5.000000,5.177500,5.037630,68228400
2015-08-25,5.405000,5.425000,5.070000,5.070000,4.933034,62268400
2015-08-26,5.235000,5.457500,5.195000,5.452500,5.305202,61497600
2015-08-27,5.510000,5.660000,5.477500,5.657500,5.504664,46376400
2015-08-28,5.657500,5.717500,5.617500,5.682500,5.528990,32094400
2015-08-31,5.655000,5.695000,5.597500,5.620000,5.468177,21935200
2015-09-01,5.457500,5.550000,5.350000,5.390000,5.244390,35340800
2015-09-02,5.537500,5.555000,5.445000,5.552500,5.402499,34404400
2015-09-03,5.635000,5.662500,5.557500,5.567500,5.417096,26255600
2015-09-04,5.472500,5.560000,5.435000,5.437500,5.290608,28797200
2015-09-08,5.570000,5.692500,5.547500,5.670000,5.516826,23844800
2015-09-09,5.687500,5.735000,5.545000,5.557500,5.407365,28939200
2015-09-10,5.525000,5.715000,5.500000,5.645000,5.492501,35707600
2015-09-11,5.582500,5.700000,5.560000,5.662500,5.509530,30158400
2015-09-14,5.690000,5.707500,5.642500,5.672500,5.519259,19246000
2015-09-15,5.675000,5.765000,5.657500,5.735000,5.580070,32797600
2015-09-16,5.725000,5.807500,5.682500,5.775000,5.618991,17350800
2015-09-17,5.875000,5.927500,5.815000,5.827500,5.670071,26871200
2015-09-18,5.747500,5.872500,5.712500,5.822500,5.665207,32641200
2015-09-21,5.830000,5.895000,5.800000,5.882500,5.723586,28184000
2015-09-22,5.755000,5.795000,5.692500,5.722500,5.567909,22835600
2015-09-23,5.727500,5.785000,5.705000,5.750000,5.594665,16163200
2015-09-24,5.715000,5.920000,5.625000,5.860000,5.701694,38244000
2015-09-25,5.932500,6.017500,5.845000,5.902500,5.743047,36969200
2015-09-28,5.902500,5.940000,5.787500,5.825000,5.667638,39558400
2015-09-29,5.887500,5.937500,5.805000,5.927500,5.767370,38073600
2015-09-30,5.982500,6.170000,5.947500,6.162500,5.996022,55638000
2015-10-01,6.162500,6.180000,5.867500,6.042500,5.879263,48929600
2015-10-02,6.010000,6.200000,5.947500,6.200000,6.032510,38614400
2015-10-05,6.240000,6.432500,6.207500,6.355000,6.183321,48202400
2015-10-06,6.287500,6.465000,6.262500,6.437500,6.263593,45321600
2015-10-07,6.452500,6.570000,6.347500,6.505000,6.329268,31015200
